comment,rating,bbq_id,user_id
"It’s a bit lower and bigger than I thought it will be . I like it . Bight the cover too, fits well . Hopefully it lasts long",4,1,1
"Love this grill, it’s quality and finish is exceptional",5,2,2
Liked everything about this BBQ. Just had to put handle on lid and fit grill. Great size cooking plate easily feed 4. Used several times already and so easy to clean.,5,3,3
Excellent barbi best one on the market,5,4,4
"Solid barbecue performance, well built, Cooks well, food tastes good. Would be 5 stars except there is no warming rack or dual burner control so no way to have a cooler section of the bbq.",5,5,5
"Had it for 6 weeks now. Done burgers, sausage and several steaks. Follow the instructions and let it heat up. It's worth the wait. Like all BBQ machines, it's a bitch to clean! Helps you become the grilling God you always knew you were. Recommended",5,6,6
"Nothing to dislike, it’ a good bbq.",5,7,7
"I have had a Weber before and this one was more expensive so was surprised when it didn’t have wheels, and it’s quite flimsy. However it’s easier to clean than the old one.",3,8,8
Easy to put together in a matter of minutes,4,9,9
"Did a BBQ, did the job. Family loved it",5,10,10
"Just got back into bbqs after a few years and didn't want to spend a lot on a bbq just in case it was a bad idea so this is ideal for me and my wife, perfect size for the two of us",4,11,1
"Nice little BBQ, ‘ok’ to put together - not the easiest but fine. Grilling space is more than enough for 3 people and you can keep food warm just in tin foil whilst more is cooking. The only gripe is with the delivery company they used as the box was ‘chucked’ over a 6.5ft fence with no note or email so left in the pouring rain for a full day & box was damaged. Luckily BBQ was ok (one small dent but not enough of an issue to make a fuss) but poor delivery service let the experience down & would deter from ordering again from the supplier. Supplier was made aware & apologised.",,12,2
Couldn't assemble as half the screws etc missing. Would have been great otherwise,2,13,3
Good size easy to put together good value for money,4,14,4
"Previous bbq broke & wanted a small one quick, this was better value than most, delivered the next day & does what we need it for. Much better than wasting money buying lots of disposable ones.",3,15,5
,,16,6
"Bought this in the summer as a housewarming gift for my daughter and her student mates. Came to put it together for bonfire night and there are screws missing. Easily fixed but no good on the night when they wanted to use it. So can’t give this a very high score, even if I did think it was a good buy.
Seller now informs me they don’t hold spares for this item, and I should have informed them of the missing screws within 5 days of arrival ! As this was a gift that doesn’t really work. Not helpful.",3,1,7
"Wanted a budget bbq until I can afford a proper one next year. This was a pain to assemble, diagrams were not very big and it was unclear which nuts and bolts to use. It is fairly cheaply constructed And not very tall but with that said it worked ok. I don’t expect it to last long but for the money it does the job.",1,2,8
"First time ever bbq-ing and not having burnt food!
I've always used the disposable ones which seems to burn food, this set did take ages to cook so might need more coal than I put in.
Fiddly to build",2,3,9
"This was easy to put together! Took me and my boyfriend 15 minutes to put everything together! This BBQ is great for small get togethers! It looks small once you open it, but trust me, you can adjust the size of the silver tray and the amount of meat you can fit is very good! We had a BBQ with 18 people and it did the job wonderfully! :D I would recommended it! Good price and good for the use of it :)",,4,10
"This is a very small BBQ. However, you shouldn't expect anything more. The product is of the level that you should expect for the price.",3,5,1
Just the perfect size for home barbecue. Easy to assemble. Lightweight to lift. Very happy with purchase,4,6,2
Good product easy to assemble. Would recommend. If only Amazon could give you a delivery time as I had to wait in all day.,4,7,3
Easy to assemble and compact for storage and easy to move.,3,8,4
It was very easy to assemble but I wouldn't waste my money on something like that again,2,9,5
"Arrival day early, not to difficult to put together, fairly sturdy. Ok for garden get together.",3,10,6
"Excellent bbq. I was really impressed with the quality at this price. Really quite stable and rigid. It worked well and after one big bbq was undamaged. I used tin foil in the bottom, as the instructions said - no rusting or heat damage at all. Brilliant all round! Shame it does fold away a bit but at this price I don't mind.",4,11,7
"Easy to assemble , great size for the family",5,12,8
This is a neat little BBQ that does the job. Have used it twice and no issues so far.,4,13,9
The quality is not very good,1,14,10
